,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,n_estimators,ccp_alpha,criterion,loss
550,2.767443084716797,0.02408705452836747,0.018709611892700196,0.0005715945170514373,0.7798657718120806,0.03201841729362834,0.9331841909023117,0.003819910059616915,bow,32,1,True,unigram_bigram,1600,80,0.0,friedman_mse,deviance
1266,3.9453590631484987,0.11213440334859816,0.023379087448120117,0.0004349426298219033,0.7798657718120805,0.02968234145972614,0.9160328113348248,0.0056713358215754175,bow,33,1,False,unigram_bigram,200,200,0.0,friedman_mse,deviance
1054,2.2399701118469237,0.025690220026425955,0.014555716514587402,0.0003005694990877923,0.7798657718120805,0.033797794126212546,0.9328859060402686,0.0049352400023189745,bow,33,1,False,unigram,800,80,0.0,friedman_mse,deviance
1391,3.355811834335327,0.044519347323799335,0.019077873229980467,0.0023457356272533775,0.7791946308724832,0.03766171233986092,0.9441461595824012,0.002934924482349652,bow,35,1,False,unigram_bigram,1400,100,0.0,friedman_mse,deviance
468,4.959859323501587,0.06255403285754192,0.02275371551513672,0.0014555321902923835,0.7778523489932886,0.03742174995825678,0.9407158836689037,0.004707446413746951,bow,36,1,True,unigram_bigram,800,200,0.0,friedman_mse,deviance
130,1.8493829488754272,0.05681161604077021,0.014867663383483887,0.00039607564069092167,0.7778523489932885,0.037661712339860924,0.9134973900074572,0.0029073212065052804,bow,37,1,True,unigram,400,80,0.0,friedman_mse,deviance
508,2.6281757593154906,0.030166681511121052,0.018848180770874023,0.000437566000945756,0.7771812080536913,0.03072623662351567,0.9265473527218493,0.002775211642942349,bow,38,1,True,unigram_bigram,1400,80,0.0,friedman_mse,deviance
214,2.611716079711914,0.024208991080660613,0.014215326309204102,0.00042284748857431323,0.776510067114094,0.03247240376752471,0.9346010439970172,0.004085114369814266,bow,39,1,True,unigram,1400,80,0.0,friedman_mse,deviance
1012,1.8783907890319824,0.046656518038511605,0.015018677711486817,0.000335588483690635,0.7765100671140939,0.04016205181309309,0.9187173750932139,0.0028100587146035307,bow,40,1,False,unigram,400,80,0.0,friedman_mse,deviance
970,1.6470362186431884,0.022766834883812787,0.014952325820922851,0.00027356961045220445,0.7751677852348994,0.03579767880025392,0.8945563012677107,0.003202223796209372,bow,41,1,False,unigram,200,80,0.0,friedman_mse,deviance
1349,2.659100365638733,0.03565586282805587,0.01961843967437744,0.0009677333122510007,0.7751677852348994,0.028983654874750582,0.9189410887397467,0.0032853677512170963,bow,41,1,False,unigram_bigram,800,100,0.0,friedman_mse,deviance
1390,2.7034706592559816,0.03666694074164734,0.01886742115020752,0.0005093563726780127,0.7751677852348993,0.03691275167785236,0.9317673378076062,0.0038640556026939945,bow,43,1,False,unigram_bigram,1400,80,0.0,friedman_mse,deviance
1348,2.1592748880386354,0.05369073560352738,0.018944621086120605,0.0005220152139886789,0.7744966442953021,0.03331456012346538,0.9077554064131246,0.005058215624790933,bow,44,1,False,unigram_bigram,800,80,0.0,friedman_mse,deviance
1308,4.412445664405823,0.06377467682996488,0.02298901081085205,0.0009139415761969904,0.7744966442953021,0.0339838628219387,0.939895600298285,0.0034205354037821684,bow,44,1,False,unigram_bigram,400,200,0.0,friedman_mse,deviance
426,4.194384288787842,0.10231613121905572,0.022904276847839355,0.0005095502627605526,0.774496644295302,0.029130918676792905,0.9278150633855331,0.004818939424728868,bow,46,1,True,unigram_bigram,400,200,0.0,friedman_mse,deviance
467,2.573108410835266,0.015138311575709478,0.019797158241271973,0.0005201294613641899,0.7738255033557048,0.03589819898071497,0.9127516778523489,0.0030014335268453676,bow,47,1,True,unigram_bigram,800,100,0.0,friedman_mse,deviance
1307,2.325916361808777,0.04904359260359237,0.01996738910675049,0.0005482008327030546,0.7738255033557047,0.03219378511466164,0.9101416853094706,0.0034857556726384043,bow,48,1,False,unigram_bigram,400,100,0.0,friedman_mse,deviance
89,1.9626184701919556,0.026582972106851323,0.015558362007141113,0.00031548276210845345,0.7738255033557047,0.03526524739709974,0.9000745712155108,0.0034817651095984214,bow,48,1,True,unigram,200,100,0.0,friedman_mse,deviance
971,2.035473585128784,0.04128427704862371,0.015775012969970702,0.0005361806318511272,0.77248322147651,0.03388431023185056,0.9052945563012678,0.0025832226809379298,bow,50,1,False,unigram,200,100,0.0,friedman_mse,deviance
425,2.2148061752319337,0.06502848382360964,0.020072340965270996,0.000913864187537847,0.77248322147651,0.035316300985027846,0.9017897091722595,0.0031821906477780566,bow,50,1,True,unigram_bigram,400,100,0.0,friedman_mse,deviance
88,1.5994112491607666,0.07754484006120178,0.014722418785095216,0.0003466912438727817,0.77248322147651,0.036937148740448365,0.8891871737509319,0.0039768207683738505,bow,50,1,True,unigram,200,80,0.0,friedman_mse,deviance
1432,2.8789392709732056,0.02713492633537107,0.01868622303009033,0.0004250142310618508,0.7718120805369127,0.02767184983636013,0.9347501864280389,0.002478862063921633,bow,53,1,False,unigram_bigram,1600,80,0.0,friedman_mse,deviance
1306,1.8971933364868163,0.023650108120757157,0.019147491455078124,0.0005100948110168798,0.7718120805369127,0.033824438035850064,0.9018642803877703,0.003420535403782157,bow,53,1,False,unigram_bigram,400,80,0.0,friedman_mse,deviance
466,2.0812060832977295,0.03710765982690605,0.018805575370788575,0.00047303999411194236,0.7718120805369126,0.03784663672448774,0.9044742729306486,0.0032751963096193477,bow,55,1,True,unigram_bigram,800,80,0.0,friedman_mse,deviance
383,2.0243237733840944,0.07345952736712093,0.019946074485778807,0.0005351589912942412,0.7718120805369126,0.03500242902122229,0.8844146159582401,0.003529354083877482,bow,55,1,True,unigram_bigram,200,100,0.0,friedman_mse,deviance
382,1.6652911186218262,0.02927394325539029,0.018922019004821777,0.0004375220644305588,0.7711409395973154,0.034016982275098494,0.8771066368381806,0.0025789137160015805,bow,57,1,True,unigram_bigram,200,80,0.0,friedman_mse,deviance
171,1.1009732961654664,0.06070167075418118,0.013314270973205566,0.0003429472619960912,0.7691275167785234,0.03179253498611277,0.8687546607009695,0.00485572575573443,bow,58,1,True,unigram,800,40,0.0,friedman_mse,deviance
1137,1.4979559659957886,0.01992482948118175,0.013251399993896485,0.0004466135354036891,0.7677852348993289,0.03317907944780745,0.8703206562266965,0.00432834358267902,bow,59,1,False,unigram,1600,40,0.0,friedman_mse,deviance
