,adjusted_rand,homogeneity,completeness,v_measure,vec_name,fs_name,clust_name,repetition,n_clusters,noise
0,0.20899423228945196,0.2502218390737298,0.28277192098955095,0.2655029586088071,bow-binary,chi_k-1400,kmeans-7-cousine,1,7.0,0.0
0,0.20115569149569223,0.2589826995232386,0.28711276651743256,0.27232322538540227,bow-binary,chi_k-1400,kmeans-8-cousine,1,8.0,0.0
0,0.24617679481648488,0.2754558070355005,0.34631540336934774,0.30684788014490133,bow-binary,chi_k-1400,kmeans-9-cousine,1,9.0,0.0
0,0.2218393408620146,0.2285383732873304,0.30389651214446994,0.2608845379350588,bow-binary,chi_k-1400,kmeans-10-cousine,1,10.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-1-5-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-09-5-cosine,1,1.0,0.0
0,0.03320091830101122,0.18675885156506103,0.05317054800424157,0.08277493712886022,bow-binary,chi_k-1400,dbscan-07-5-cosine,1,3.0,193.0
0,0.07557923781890996,0.34528042704478107,0.23416227004294715,0.2790669345029751,bow-binary,chi_k-1400,dbscan-05-5-cosine,1,15.0,1032.0
0,0.028531689525872986,0.3650340746121859,0.16600072649616987,0.22821826914170754,bow-binary,chi_k-1400,dbscan-03-5-cosine,1,14.0,1242.0
0,0.009717417701197458,0.3329833016733107,0.10944307948679907,0.16474025738361506,bow-binary,chi_k-1400,dbscan-01-5-cosine,1,11.0,1335.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-1-10-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-09-10-cosine,1,1.0,0.0
0,0.04091177449111792,0.15602709945543525,0.05095881085106455,0.07682605484611175,bow-binary,chi_k-1400,dbscan-07-10-cosine,1,2.0,280.0
0,0.056711343291911215,0.3823671305686357,0.2056385582823424,0.26744443788746386,bow-binary,chi_k-1400,dbscan-05-10-cosine,1,8.0,1140.0
0,0.02239818923495393,0.4110723999791899,0.12945953895357634,0.19690693387302483,bow-binary,chi_k-1400,dbscan-03-10-cosine,1,6.0,1301.0
0,0.007894386098196548,0.34942158305335624,0.0943372469636584,0.1485647966652204,bow-binary,chi_k-1400,dbscan-01-10-cosine,1,7.0,1358.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-1-20-cosine,1,1.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1400,dbscan-09-20-cosine,1,1.0,0.0
0,0.06451235678903873,0.1696977506312705,0.06868150310692157,0.09778616556975887,bow-binary,chi_k-1400,dbscan-07-20-cosine,1,2.0,460.0
0,0.044160732681037325,0.4815042708253476,0.13257354661484166,0.20790436352059571,bow-binary,chi_k-1400,dbscan-05-20-cosine,1,3.0,1297.0
0,0.02528245355356679,0.4961727313871159,0.10271047075240795,0.1701905634795411,bow-binary,chi_k-1400,dbscan-03-20-cosine,1,2.0,1350.0
0,0.009785266037480127,0.39847131240208294,0.06718730951893387,0.11498644775577906,bow-binary,chi_k-1400,dbscan-01-20-cosine,1,3.0,1402.0
0,0.10437885578768369,0.3386633293984283,0.11540270658148266,0.17214529048899818,bow-binary,chi_k-1000,kmeans-2-cousine,1,2.0,0.0
0,0.12226240882251713,0.2709553166284821,0.16143146521504015,0.20232215973230402,bow-binary,chi_k-1000,kmeans-3-cousine,1,3.0,0.0
0,0.16776970362331736,0.26782407420610505,0.2095296927357167,0.2351174322354194,bow-binary,chi_k-1000,kmeans-4-cousine,1,4.0,0.0
0,0.23527258028689663,0.30654720041837025,0.27563775366139454,0.29027195265830297,bow-binary,chi_k-1000,kmeans-5-cousine,1,5.0,0.0
0,0.20375664143849453,0.2769204952108685,0.28019176229917175,0.27854652459695434,bow-binary,chi_k-1000,kmeans-6-cousine,1,6.0,0.0
0,0.2426986602223576,0.29567123779449966,0.3240737536360034,0.30922166116452376,bow-binary,chi_k-1000,kmeans-7-cousine,1,7.0,0.0
0,0.24864078791335653,0.2748305255850376,0.3293516704796672,0.2996311155469509,bow-binary,chi_k-1000,kmeans-8-cousine,1,8.0,0.0
0,0.22850888050397583,0.2475345722849906,0.31359608890590457,0.27667664273708564,bow-binary,chi_k-1000,kmeans-9-cousine,1,9.0,0.0
0,0.233381015024988,0.2527915326932898,0.3339576020543419,0.28776064276329494,bow-binary,chi_k-1000,kmeans-10-cousine,1,10.0,0.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1000,dbscan-1-5-cosine,1,1.0,0.0
0,0.0007833961881087647,0.2990378487187317,0.0025567390523321934,0.005070129086831994,bow-binary,chi_k-1000,dbscan-09-5-cosine,1,1.0,3.0
0,0.026958768316879766,0.24817491228615735,0.045638504119847094,0.07709880573433893,bow-binary,chi_k-1000,dbscan-07-5-cosine,1,2.0,96.0
0,0.06513094401261753,0.23533435991029542,0.15311613556007758,0.18552422084227793,bow-binary,chi_k-1000,dbscan-05-5-cosine,1,16.0,913.0
0,0.029050356182267194,0.34948141559598817,0.17626758584091992,0.23434089367743502,bow-binary,chi_k-1000,dbscan-03-5-cosine,1,16.0,1216.0
0,0.009717417701197458,0.3329833016733107,0.10944307948679907,0.16474025738361506,bow-binary,chi_k-1000,dbscan-01-5-cosine,1,11.0,1335.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1000,dbscan-1-10-cosine,1,1.0,0.0
0,0.0007833961881087647,0.2990378487187317,0.0025567390523321934,0.005070129086831994,bow-binary,chi_k-1000,dbscan-09-10-cosine,1,1.0,3.0
0,0.03217787760602976,0.21932704831398797,0.04965930630985066,0.08098276278356972,bow-binary,chi_k-1000,dbscan-07-10-cosine,1,2.0,140.0
0,0.06585837707953565,0.36486556673439335,0.2133415693390072,0.2692495050597238,bow-binary,chi_k-1000,dbscan-05-10-cosine,1,8.0,1096.0
0,0.023483255004046376,0.4106141797934372,0.13693339817589406,0.20537683752286529,bow-binary,chi_k-1000,dbscan-03-10-cosine,1,6.0,1289.0
0,0.007894386098196548,0.34942158305335624,0.0943372469636584,0.1485647966652204,bow-binary,chi_k-1000,dbscan-01-10-cosine,1,7.0,1358.0
0,0.0,1.0,-3.270817334348571e-17,-6.541634668697142e-17,bow-binary,chi_k-1000,dbscan-1-20-cosine,1,1.0,0.0
0,0.0007833961881087647,0.2990378487187317,0.0025567390523321934,0.005070129086831994,bow-binary,chi_k-1000,dbscan-09-20-cosine,1,1.0,3.0
0,0.04506467797001706,0.1909957452352281,0.05822414031046941,0.08924298351978417,bow-binary,chi_k-1000,dbscan-07-20-cosine,1,2.0,244.0
0,0.0500645163907765,0.44096031496412885,0.16459127387606104,0.2397094526916981,bow-binary,chi_k-1000,dbscan-05-20-cosine,1,5.0,1242.0
0,0.027241090380124344,0.50209769973824,0.10632573369846658,0.17548931674583307,bow-binary,chi_k-1000,dbscan-03-20-cosine,1,2.0,1345.0
0,0.009785266037480127,0.39847131240208294,0.06718730951893387,0.11498644775577906,bow-binary,chi_k-1000,dbscan-01-20-cosine,1,3.0,1402.0
0,0.10388910280449244,0.33756539766780647,0.11475543679301425,0.17128313225612457,bow-binary,chi_k-800,kmeans-2-cousine,1,2.0,0.0
0,0.24570421109354368,0.3720604223034776,0.23045909185321306,0.2846205144362634,bow-binary,chi_k-800,kmeans-3-cousine,1,3.0,0.0
0,0.1957383498359518,0.2749134996463549,0.22135422956798628,0.2452436954077054,bow-binary,chi_k-800,kmeans-4-cousine,1,4.0,0.0
0,0.15609246321994893,0.2169564478733001,0.19781099712879494,0.20694185044885638,bow-binary,chi_k-800,kmeans-5-cousine,1,5.0,0.0
0,0.22843402573267002,0.27619057007904346,0.285938767189739,0.2809801441836921,bow-binary,chi_k-800,kmeans-6-cousine,1,6.0,0.0
0,0.18874680506549948,0.23408466640721692,0.2797992547450046,0.25490859905138397,bow-binary,chi_k-800,kmeans-8-cousine,1,8.0,0.0
