,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_test_score,std_test_score,mean_train_score,std_train_score,combination,rank_test_score,repetition,binary,ngram_range,tokens,alpha
89,0.03578708171844482,0.0006704353883418788,0.006216502189636231,0.0002155726275907519,0.7838926174496644,0.03257627140808483,0.9337061894108875,0.0050845321204268,bow,71,1,True,unigram,1000,0.1
478,0.03610293865203858,0.0005026219006385813,0.006194353103637695,0.00016736057043883375,0.7838926174496644,0.04734279755315007,0.9093959731543624,0.004835642904361978,bow,71,1,False,unigram,800,0.5
654,0.10696909427642823,0.01944751826875155,0.012192392349243164,0.00289933603408476,0.7838926174496643,0.036857799242271096,0.9167785234899328,0.003716610229493545,bow,74,1,False,unigram_bigram,1600,0.5
112,0.03662090301513672,0.0012126525767866007,0.0064891338348388675,0.0005225196635751465,0.7838926174496643,0.032851646310121926,0.9392244593586876,0.003305616742625122,bow,74,1,True,unigram,1400,0.2
483,0.04353001117706299,0.010282674918412857,0.007183003425598145,0.0017263493866257619,0.7832214765100671,0.04115905531936098,0.8943325876211782,0.0052098548768705665,bow,76,1,False,unigram,800,1.0
479,0.04464232921600342,0.011278855981425953,0.007468700408935547,0.0019672835650714465,0.7832214765100671,0.044523512189589234,0.9062639821029081,0.004693249508593463,bow,76,1,False,unigram,800,0.6
493,0.04343204498291016,0.009112477780723343,0.0074199199676513675,0.0017739373646255287,0.7832214765100671,0.03879287521239848,0.9052945563012678,0.006518053209071494,bow,76,1,False,unigram,1000,0.9
494,0.043106794357299805,0.011109562743598145,0.006237339973449707,0.00038467139586945094,0.7832214765100671,0.040162051813093125,0.9026845637583893,0.006160593453340148,bow,76,1,False,unigram,1000,1.0
641,0.12091341018676757,0.014340155770902559,0.012335753440856934,0.002929530493142203,0.783221476510067,0.03500886269998654,0.9149888143176733,0.0036532285500122026,bow,80,1,False,unigram_bigram,1400,0.3
519,0.04385123252868652,0.011129226928790283,0.006973385810852051,0.0014459092162202208,0.783221476510067,0.03315870960278021,0.9396718866517524,0.003189172972459832,bow,80,1,False,unigram,1600,0.2
100,0.03790724277496338,0.007687832837949673,0.006371974945068359,0.0012667571529683546,0.7825503355704698,0.03411614772386262,0.9416853094705443,0.004332837895998191,bow,82,1,True,unigram,1200,0.1
657,0.093223237991333,0.019714055731170986,0.010464954376220702,0.0026968905112875717,0.7825503355704698,0.034379190536552216,0.9083519761372111,0.0031186463335311707,bow,82,1,False,unigram_bigram,1600,0.8
123,0.036362409591674805,0.0006209721260367278,0.006426405906677246,0.0003247352081022698,0.7825503355704698,0.02585417487819894,0.9399701715137956,0.0034050559453634166,bow,82,1,True,unigram,1600,0.2
78,0.03587675094604492,0.00038495152675469793,0.006253099441528321,0.0003550349684893414,0.7825503355704698,0.04084597061665221,0.9248322147651006,0.004149270020356008,bow,82,1,True,unigram,800,0.1
655,0.10529584884643554,0.022248903532854435,0.010837531089782715,0.002860019588265441,0.7825503355704697,0.036415194540269896,0.9136465324384788,0.0025354213273676494,bow,86,1,False,unigram_bigram,1600,0.6
480,0.03842906951904297,0.005068273521126761,0.006256270408630371,0.00022440467972326808,0.7825503355704697,0.04171884635683237,0.9025354213273676,0.005520788670806731,bow,86,1,False,unigram,800,0.7
96,0.036059451103210446,0.00033062177644210713,0.006232237815856934,0.0001592839340131931,0.7818791946308725,0.03236124416440589,0.907158836689038,0.0055026281325498165,bow,88,1,True,unigram,1000,0.8
